"Step","wc_bug5_seq_di64_t24_dm192_nh12_nl10_dr0.2_optMuon_eiZ_bs100_wd0.0_lr0.0015_lrm0.0015_r1 - train_loss","wc_bug5_seq_di64_t24_dm192_nh12_nl10_dr0.2_optMuon_eiZ_bs100_wd0.0_lr0.0015_lrm0.0015_r1 - train_loss__MIN","wc_bug5_seq_di64_t24_dm192_nh12_nl10_dr0.2_optMuon_eiZ_bs100_wd0.0_lr0.0015_lrm0.0015_r1 - train_loss__MAX"
"8890","0.49900948660714284","0.49900948660714284","0.49900948660714284"
"8960","0.4607596261160714","0.4607596261160714","0.4607596261160714"
"9030","0.3978864397321429","0.3978864397321429","0.3978864397321429"
"9100","0.5015485491071429","0.5015485491071429","0.5015485491071429"
"9170","0.5158133370535715","0.5158133370535715","0.5158133370535715"
"9240","0.4397984095982143","0.4397984095982143","0.4397984095982143"
"9310","0.4670619419642857","0.4670619419642857","0.4670619419642857"
"9380","0.4928989955357143","0.4928989955357143","0.4928989955357143"
"9450","0.40896344866071427","0.40896344866071427","0.40896344866071427"
"9520","0.43405064174107144","0.43405064174107144","0.43405064174107144"
"9590","0.4098493303571429","0.4098493303571429","0.4098493303571429"
"9660","0.42579171316964287","0.42579171316964287","0.42579171316964287"
"9730","0.41215122767857143","0.41215122767857143","0.41215122767857143"
"9800","0.4441929408482143","0.4441929408482143","0.4441929408482143"
"9870","0.4039934430803571","0.4039934430803571","0.4039934430803571"
"9940","0.38846609933035714","0.38846609933035714","0.38846609933035714"
"10010","0.4238351004464286","0.4238351004464286","0.4238351004464286"
"10080","0.4253941127232143","0.4253941127232143","0.4253941127232143"
"10150","0.4672398158482143","0.4672398158482143","0.4672398158482143"
"10220","0.4003696986607143","0.4003696986607143","0.4003696986607143"
"10290","0.4245849609375","0.4245849609375","0.4245849609375"
"10360","0.37745186941964287","0.37745186941964287","0.37745186941964287"
"10430","0.3918910435267857","0.3918910435267857","0.3918910435267857"
"10500","0.3842982700892857","0.3842982700892857","0.3842982700892857"
"10570","0.3902553013392857","0.3902553013392857","0.3902553013392857"
"10640","0.43277762276785714","0.43277762276785714","0.43277762276785714"
"10710","0.36780831473214287","0.36780831473214287","0.36780831473214287"
"10780","0.4368896484375","0.4368896484375","0.4368896484375"
"10850","0.4190185546875","0.4190185546875","0.4190185546875"
"10920","0.4209507533482143","0.4209507533482143","0.4209507533482143"
"10990","0.4076939174107143","0.4076939174107143","0.4076939174107143"
"11060","0.42623814174107144","0.42623814174107144","0.42623814174107144"
"11130","0.37987234933035713","0.37987234933035713","0.37987234933035713"
"11200","0.3853166852678571","0.3853166852678571","0.3853166852678571"
"11270","0.4168701171875","0.4168701171875","0.4168701171875"
"11340","0.4385009765625","0.4385009765625","0.4385009765625"
"11410","0.3545619419642857","0.3545619419642857","0.3545619419642857"
"11480","0.40770438058035713","0.40770438058035713","0.40770438058035713"
"11550","0.36079799107142857","0.36079799107142857","0.36079799107142857"
"11620","0.37950613839285713","0.37950613839285713","0.37950613839285713"
"11690","0.39552176339285716","0.39552176339285716","0.39552176339285716"
"11760","0.38368094308035716","0.38368094308035716","0.38368094308035716"
"11830","0.36748221261160713","0.36748221261160713","0.36748221261160713"
"11900","0.4048095703125","0.4048095703125","0.4048095703125"
"11970","0.4036830357142857","0.4036830357142857","0.4036830357142857"
"12040","0.3261160714285714","0.3261160714285714","0.3261160714285714"
"12110","0.33826729910714287","0.33826729910714287","0.33826729910714287"
"12180","0.33004499162946427","0.33004499162946427","0.33004499162946427"
"12250","0.363818359375","0.363818359375","0.363818359375"
"12320","0.40074637276785713","0.40074637276785713","0.40074637276785713"
"12390","0.3724434988839286","0.3724434988839286","0.3724434988839286"
"12460","0.3860316685267857","0.3860316685267857","0.3860316685267857"
"12530","0.34447195870535713","0.34447195870535713","0.34447195870535713"
"12600","0.3888706752232143","0.3888706752232143","0.3888706752232143"
"12670","0.33814871651785716","0.33814871651785716","0.33814871651785716"
"12740","0.3275913783482143","0.3275913783482143","0.3275913783482143"
"12810","0.38179757254464286","0.38179757254464286","0.38179757254464286"
"12880","0.30931222098214284","0.30931222098214284","0.30931222098214284"
"12950","0.2904750279017857","0.2904750279017857","0.2904750279017857"
"13020","0.3469935825892857","0.3469935825892857","0.3469935825892857"
"13090","0.3525844029017857","0.3525844029017857","0.3525844029017857"
"13160","0.31332310267857144","0.31332310267857144","0.31332310267857144"
"13230","0.36624930245535714","0.36624930245535714","0.36624930245535714"
"13300","0.30382254464285713","0.30382254464285713","0.30382254464285713"
"13370","0.30388009207589284","0.30388009207589284","0.30388009207589284"
"13440","0.34652971540178573","0.34652971540178573","0.34652971540178573"
"13510","0.32376185825892856","0.32376185825892856","0.32376185825892856"
"13580","0.35184500558035714","0.35184500558035714","0.35184500558035714"
"13650","0.32919921875","0.32919921875","0.32919921875"
"13720","0.30198974609375","0.30198974609375","0.30198974609375"
"13790","0.35873151506696427","0.35873151506696427","0.35873151506696427"
"13860","0.37380719866071427","0.37380719866071427","0.37380719866071427"
"13930","0.26314174107142857","0.26314174107142857","0.26314174107142857"
"14000","0.3269566127232143","0.3269566127232143","0.3269566127232143"
"14070","0.33133719308035714","0.33133719308035714","0.33133719308035714"
"14140","0.32518136160714284","0.32518136160714284","0.32518136160714284"
"14210","0.30911690848214285","0.30911690848214285","0.30911690848214285"
"14280","0.34498116629464287","0.34498116629464287","0.34498116629464287"
"14350","0.33999372209821427","0.33999372209821427","0.33999372209821427"
"14420","0.3683070591517857","0.3683070591517857","0.3683070591517857"
"14490","0.28219517299107144","0.28219517299107144","0.28219517299107144"
"14560","0.28823590959821427","0.28823590959821427","0.28823590959821427"
"14630","0.35811941964285715","0.35811941964285715","0.35811941964285715"
"14700","0.3029802594866071","0.3029802594866071","0.3029802594866071"
"14770","0.3153703962053571","0.3153703962053571","0.3153703962053571"
"14840","0.3140311104910714","0.3140311104910714","0.3140311104910714"
"14910","0.28563058035714284","0.28563058035714284","0.28563058035714284"
"14980","0.3150565011160714","0.3150565011160714","0.3150565011160714"
"15050","0.28004673549107145","0.28004673549107145","0.28004673549107145"
"15120","0.32094203404017857","0.32094203404017857","0.32094203404017857"
"15190","0.3059047154017857","0.3059047154017857","0.3059047154017857"
"15260","0.305322265625","0.305322265625","0.305322265625"
"15330","0.2842494419642857","0.2842494419642857","0.2842494419642857"
"15400","0.26091482979910713","0.26091482979910713","0.26091482979910713"
"15470","0.3198765345982143","0.3198765345982143","0.3198765345982143"
"15540","0.2698416573660714","0.2698416573660714","0.2698416573660714"
"15610","0.24970354352678573","0.24970354352678573","0.24970354352678573"
"15680","0.3174421037946429","0.3174421037946429","0.3174421037946429"
"15750","0.24381975446428572","0.24381975446428572","0.24381975446428572"
"15820","0.3329258510044643","0.3329258510044643","0.3329258510044643"
"15890","0.2928257533482143","0.2928257533482143","0.2928257533482143"
"15960","0.3350376674107143","0.3350376674107143","0.3350376674107143"
"16030","0.28651646205357145","0.28651646205357145","0.28651646205357145"
"16100","0.28157261439732145","0.28157261439732145","0.28157261439732145"
"16170","0.2563511439732143","0.2563511439732143","0.2563511439732143"
"16240","0.2818638392857143","0.2818638392857143","0.2818638392857143"
"16310","0.2264735630580357","0.2264735630580357","0.2264735630580357"
"16380","0.30549142020089287","0.30549142020089287","0.30549142020089287"
"16450","0.25882393973214285","0.25882393973214285","0.25882393973214285"
"16520","0.28031180245535714","0.28031180245535714","0.28031180245535714"
"16590","0.3110979352678571","0.3110979352678571","0.3110979352678571"
"16660","0.29305768694196427","0.29305768694196427","0.29305768694196427"
"16730","0.30191476004464285","0.30191476004464285","0.30191476004464285"
"16800","0.29794921875","0.29794921875","0.29794921875"
"16870","0.3084803989955357","0.3084803989955357","0.3084803989955357"
"16940","0.2576259068080357","0.2576259068080357","0.2576259068080357"
"17010","0.24978724888392856","0.24978724888392856","0.24978724888392856"
"17080","0.28804234095982145","0.28804234095982145","0.28804234095982145"
"17150","0.3096906389508929","0.3096906389508929","0.3096906389508929"
"17220","0.24981689453125","0.24981689453125","0.24981689453125"
"17290","0.24765799386160714","0.24765799386160714","0.24765799386160714"
"17360","0.26106480189732145","0.26106480189732145","0.26106480189732145"
"17430","0.24687151227678572","0.24687151227678572","0.24687151227678572"
"17500","0.27682931082589285","0.27682931082589285","0.27682931082589285"
"17570","0.30599365234375","0.30599365234375","0.30599365234375"
"17640","0.26492222377232144","0.26492222377232144","0.26492222377232144"
"17710","0.27553536551339286","0.27553536551339286","0.27553536551339286"
"17780","0.2844796316964286","0.2844796316964286","0.2844796316964286"
"17850","0.30106026785714285","0.30106026785714285","0.30106026785714285"
"17920","0.25737479073660713","0.25737479073660713","0.25737479073660713"
"17990","0.2128574916294643","0.2128574916294643","0.2128574916294643"
"18060","0.2465087890625","0.2465087890625","0.2465087890625"
"18130","0.25921630859375","0.25921630859375","0.25921630859375"
"18200","0.23068150111607144","0.23068150111607144","0.23068150111607144"
"18270","0.24005126953125","0.24005126953125","0.24005126953125"
"18340","0.27738734654017855","0.27738734654017855","0.27738734654017855"
"18410","0.25193045479910714","0.25193045479910714","0.25193045479910714"
"18480","0.2681815011160714","0.2681815011160714","0.2681815011160714"
"18550","0.2505510602678571","0.2505510602678571","0.2505510602678571"
"18620","0.2438685825892857","0.2438685825892857","0.2438685825892857"
"18690","0.22384207589285715","0.22384207589285715","0.22384207589285715"
"18760","0.30093994140625","0.30093994140625","0.30093994140625"
"18830","0.2515921456473214","0.2515921456473214","0.2515921456473214"
"18900","0.28309849330357145","0.28309849330357145","0.28309849330357145"
"18970","0.25040283203125","0.25040283203125","0.25040283203125"
"19040","0.2777727399553571","0.2777727399553571","0.2777727399553571"
"19110","0.23861781529017856","0.23861781529017856","0.23861781529017856"
"19180","0.2686610630580357","0.2686610630580357","0.2686610630580357"
"19250","0.26915457589285713","0.26915457589285713","0.26915457589285713"
"19320","0.2334559849330357","0.2334559849330357","0.2334559849330357"
"19390","0.22462681361607142","0.22462681361607142","0.22462681361607142"
"19460","0.20437709263392856","0.20437709263392856","0.20437709263392856"
"19530","0.29243338448660716","0.29243338448660716","0.29243338448660716"
"19600","0.27778843470982145","0.27778843470982145","0.27778843470982145"
"19670","0.2503104073660714","0.2503104073660714","0.2503104073660714"
"19740","0.21392822265625","0.21392822265625","0.21392822265625"
"19810","0.2844273158482143","0.2844273158482143","0.2844273158482143"
"19880","0.25352957589285713","0.25352957589285713","0.25352957589285713"
"19950","0.24659598214285713","0.24659598214285713","0.24659598214285713"
"20020","0.21304931640625","0.21304931640625","0.21304931640625"
"20090","0.25810372488839284","0.25810372488839284","0.25810372488839284"
"20160","0.27755824497767856","0.27755824497767856","0.27755824497767856"
"20230","0.25613664899553573","0.25613664899553573","0.25613664899553573"
"20300","0.219287109375","0.219287109375","0.219287109375"
"20370","0.22706821986607142","0.22706821986607142","0.22706821986607142"
"20440","0.22883475167410713","0.22883475167410713","0.22883475167410713"
"20510","0.25168108258928573","0.25168108258928573","0.25168108258928573"
"20580","0.2303135463169643","0.2303135463169643","0.2303135463169643"
"20650","0.23667166573660714","0.23667166573660714","0.23667166573660714"
"20720","0.24968610491071427","0.24968610491071427","0.24968610491071427"
"20790","0.23681727818080356","0.23681727818080356","0.23681727818080356"
"20860","0.23932407924107144","0.23932407924107144","0.23932407924107144"
"20930","0.1903076171875","0.1903076171875","0.1903076171875"
"21000","0.2626307896205357","0.2626307896205357","0.2626307896205357"
"21070","0.256201171875","0.256201171875","0.256201171875"
"21140","0.27047816685267856","0.27047816685267856","0.27047816685267856"
"21210","0.26075439453125","0.26075439453125","0.26075439453125"
"21280","0.24210553850446428","0.24210553850446428","0.24210553850446428"
"21350","0.2529976981026786","0.2529976981026786","0.2529976981026786"
"21420","0.23689139229910713","0.23689139229910713","0.23689139229910713"
"21490","0.23928397042410715","0.23928397042410715","0.23928397042410715"
"21560","0.20295235770089284","0.20295235770089284","0.20295235770089284"
"21630","0.2585484095982143","0.2585484095982143","0.2585484095982143"
"21700","0.26267264229910714","0.26267264229910714","0.26267264229910714"
"21770","0.23549543108258927","0.23549543108258927","0.23549543108258927"
"21840","0.24431501116071427","0.24431501116071427","0.24431501116071427"
"21910","0.25558210100446427","0.25558210100446427","0.25558210100446427"
"21980","0.25064871651785714","0.25064871651785714","0.25064871651785714"
