"Step","wc_bug5_seq_di64_t24_dm192_nh12_nl10_dr0.2_optMuon_eiZ_bs100_wd0.0_lr0.0015_lrm0.0015_r1 - avg_distance","wc_bug5_seq_di64_t24_dm192_nh12_nl10_dr0.2_optMuon_eiZ_bs100_wd0.0_lr0.0015_lrm0.0015_r1 - avg_distance__MIN","wc_bug5_seq_di64_t24_dm192_nh12_nl10_dr0.2_optMuon_eiZ_bs100_wd0.0_lr0.0015_lrm0.0015_r1 - avg_distance__MAX"
"26250","11.696428571428571","11.696428571428571","11.696428571428571"
"26320","11.780357142857143","11.780357142857143","11.780357142857143"
"26390","11.694642857142858","11.694642857142858","11.694642857142858"
"26460","11.658035714285715","11.658035714285715","11.658035714285715"
"26530","11.644642857142857","11.644642857142857","11.644642857142857"
"26600","11.719642857142857","11.719642857142857","11.719642857142857"
"26670","11.67142857142857","11.67142857142857","11.67142857142857"
"26740","11.70357142857143","11.70357142857143","11.70357142857143"
"26810","11.683928571428572","11.683928571428572","11.683928571428572"
"26880","11.717857142857143","11.717857142857143","11.717857142857143"
"26950","11.749107142857143","11.749107142857143","11.749107142857143"
"27020","11.692857142857143","11.692857142857143","11.692857142857143"
"27090","11.69375","11.69375","11.69375"
"27160","11.624107142857143","11.624107142857143","11.624107142857143"
"27230","11.767857142857142","11.767857142857142","11.767857142857142"
"27300","11.683035714285714","11.683035714285714","11.683035714285714"
"27370","11.642857142857142","11.642857142857142","11.642857142857142"
"27440","11.741071428571429","11.741071428571429","11.741071428571429"
"27510","11.825","11.825","11.825"
"27580","11.740178571428572","11.740178571428572","11.740178571428572"
"27650","11.683928571428572","11.683928571428572","11.683928571428572"
"27720","11.825892857142858","11.825892857142858","11.825892857142858"
"27790","11.823214285714286","11.823214285714286","11.823214285714286"
"27860","11.813392857142857","11.813392857142857","11.813392857142857"
"27930","11.7375","11.7375","11.7375"
"28000","11.774107142857142","11.774107142857142","11.774107142857142"
"28070","11.783928571428572","11.783928571428572","11.783928571428572"
"28140","11.727678571428571","11.727678571428571","11.727678571428571"
"28210","11.82767857142857","11.82767857142857","11.82767857142857"
"28280","11.917857142857143","11.917857142857143","11.917857142857143"
"28350","11.850892857142858","11.850892857142858","11.850892857142858"
"28420","11.79732142857143","11.79732142857143","11.79732142857143"
"28490","11.926785714285714","11.926785714285714","11.926785714285714"
"28560","11.813392857142857","11.813392857142857","11.813392857142857"
"28630","11.78125","11.78125","11.78125"
"28700","11.801785714285714","11.801785714285714","11.801785714285714"
"28770","11.786607142857143","11.786607142857143","11.786607142857143"
"28840","11.763392857142858","11.763392857142858","11.763392857142858"
"28910","11.783035714285715","11.783035714285715","11.783035714285715"
"28980","11.770535714285714","11.770535714285714","11.770535714285714"
"29050","11.872321428571428","11.872321428571428","11.872321428571428"
"29120","11.847321428571428","11.847321428571428","11.847321428571428"
"29190","11.8375","11.8375","11.8375"
"29260","11.869642857142857","11.869642857142857","11.869642857142857"
"29330","11.833928571428572","11.833928571428572","11.833928571428572"
"29400","11.817857142857143","11.817857142857143","11.817857142857143"
"29470","11.752678571428572","11.752678571428572","11.752678571428572"
"29540","11.728571428571428","11.728571428571428","11.728571428571428"
"29610","11.957142857142857","11.957142857142857","11.957142857142857"
"29680","11.811607142857143","11.811607142857143","11.811607142857143"
"29750","11.780357142857143","11.780357142857143","11.780357142857143"
"29820","11.911607142857143","11.911607142857143","11.911607142857143"
"29890","11.770535714285714","11.770535714285714","11.770535714285714"
"29960","11.801785714285714","11.801785714285714","11.801785714285714"
"30030","11.89375","11.89375","11.89375"
"30100","11.745535714285714","11.745535714285714","11.745535714285714"
"30170","11.847321428571428","11.847321428571428","11.847321428571428"
"30240","11.85625","11.85625","11.85625"
"30310","11.815178571428572","11.815178571428572","11.815178571428572"
"30380","11.744642857142857","11.744642857142857","11.744642857142857"
"30450","11.865178571428572","11.865178571428572","11.865178571428572"
"30520","11.89017857142857","11.89017857142857","11.89017857142857"
"30590","11.81875","11.81875","11.81875"
"30660","11.86875","11.86875","11.86875"
"30730","11.904464285714285","11.904464285714285","11.904464285714285"
"30800","11.8","11.8","11.8"
"30870","11.7875","11.7875","11.7875"
"30940","11.852678571428571","11.852678571428571","11.852678571428571"
"31010","11.874107142857143","11.874107142857143","11.874107142857143"
"31080","11.848214285714286","11.848214285714286","11.848214285714286"
"31150","11.870535714285714","11.870535714285714","11.870535714285714"
"31220","11.891964285714286","11.891964285714286","11.891964285714286"
"31290","11.9125","11.9125","11.9125"
"31360","11.78125","11.78125","11.78125"
"31430","11.909821428571428","11.909821428571428","11.909821428571428"
"31500","11.84375","11.84375","11.84375"
"31570","11.825892857142858","11.825892857142858","11.825892857142858"
"31640","11.860714285714286","11.860714285714286","11.860714285714286"
"31710","11.735714285714286","11.735714285714286","11.735714285714286"
"31780","11.869642857142857","11.869642857142857","11.869642857142857"
"31850","11.914285714285715","11.914285714285715","11.914285714285715"
"31920","11.950892857142858","11.950892857142858","11.950892857142858"
"31990","11.996428571428572","11.996428571428572","11.996428571428572"
"32060","11.975892857142858","11.975892857142858","11.975892857142858"
"32130","11.802678571428572","11.802678571428572","11.802678571428572"
"32200","11.872321428571428","11.872321428571428","11.872321428571428"
"32270","11.939285714285715","11.939285714285715","11.939285714285715"
"32340","11.9375","11.9375","11.9375"
"32410","11.825","11.825","11.825"
"32480","11.883035714285715","11.883035714285715","11.883035714285715"
"32550","11.914285714285715","11.914285714285715","11.914285714285715"
"32620","11.991071428571429","11.991071428571429","11.991071428571429"
"32690","12.008928571428571","12.008928571428571","12.008928571428571"
"32760","11.966071428571428","11.966071428571428","11.966071428571428"
"32830","12.086607142857142","12.086607142857142","12.086607142857142"
