"Step","wc_bug5_seq_di64_t24_dm192_nh12_nl10_dr0.2_optMuon_eiZ_bs100_wd0.0_lr0.0015_lrm0.0015_r1 - test_loss","wc_bug5_seq_di64_t24_dm192_nh12_nl10_dr0.2_optMuon_eiZ_bs100_wd0.0_lr0.0015_lrm0.0015_r1 - test_loss__MIN","wc_bug5_seq_di64_t24_dm192_nh12_nl10_dr0.2_optMuon_eiZ_bs100_wd0.0_lr0.0015_lrm0.0015_r1 - test_loss__MAX"
"25060","0.546875","0.546875","0.546875"
"25130","0.65234375","0.65234375","0.65234375"
"25200","0.69140625","0.69140625","0.69140625"
"25270","0.388671875","0.388671875","0.388671875"
"25340","0.55078125","0.55078125","0.55078125"
"25410","0.6875","0.6875","0.6875"
"25480","0.56640625","0.56640625","0.56640625"
"25550","0.67578125","0.67578125","0.67578125"
"25620","0.68359375","0.68359375","0.68359375"
"25690","0.546875","0.546875","0.546875"
"25760","0.59765625","0.59765625","0.59765625"
"25830","0.68359375","0.68359375","0.68359375"
"25900","0.64453125","0.64453125","0.64453125"
"25970","0.337890625","0.337890625","0.337890625"
"26040","0.71875","0.71875","0.71875"
"26110","0.71875","0.71875","0.71875"
"26180","0.62890625","0.62890625","0.62890625"
"26250","1.0234375","1.0234375","1.0234375"
"26320","0.69921875","0.69921875","0.69921875"
"26390","0.498046875","0.498046875","0.498046875"
"26460","0.66015625","0.66015625","0.66015625"
"26530","0.64453125","0.64453125","0.64453125"
"26600","0.66015625","0.66015625","0.66015625"
"26670","0.70703125","0.70703125","0.70703125"
"26740","0.58203125","0.58203125","0.58203125"
"26810","0.78125","0.78125","0.78125"
"26880","0.79296875","0.79296875","0.79296875"
"26950","0.54296875","0.54296875","0.54296875"
"27020","0.76953125","0.76953125","0.76953125"
"27090","0.60546875","0.60546875","0.60546875"
"27160","0.65234375","0.65234375","0.65234375"
"27230","0.671875","0.671875","0.671875"
"27300","0.64453125","0.64453125","0.64453125"
"27370","0.466796875","0.466796875","0.466796875"
"27440","0.66796875","0.66796875","0.66796875"
"27510","0.73828125","0.73828125","0.73828125"
"27580","0.71875","0.71875","0.71875"
"27650","0.76953125","0.76953125","0.76953125"
"27720","0.5078125","0.5078125","0.5078125"
"27790","0.64453125","0.64453125","0.64453125"
"27860","0.61328125","0.61328125","0.61328125"
"27930","0.73046875","0.73046875","0.73046875"
"28000","0.6328125","0.6328125","0.6328125"
"28070","0.703125","0.703125","0.703125"
"28140","0.63671875","0.63671875","0.63671875"
"28210","0.734375","0.734375","0.734375"
"28280","0.734375","0.734375","0.734375"
"28350","0.859375","0.859375","0.859375"
"28420","0.89453125","0.89453125","0.89453125"
"28490","0.80078125","0.80078125","0.80078125"
"28560","0.703125","0.703125","0.703125"
"28630","0.64453125","0.64453125","0.64453125"
"28700","0.61328125","0.61328125","0.61328125"
"28770","0.65234375","0.65234375","0.65234375"
"28840","0.625","0.625","0.625"
"28910","0.69921875","0.69921875","0.69921875"
"28980","0.76953125","0.76953125","0.76953125"
"29050","0.87109375","0.87109375","0.87109375"
"29120","0.796875","0.796875","0.796875"
"29190","0.765625","0.765625","0.765625"
"29260","0.67578125","0.67578125","0.67578125"
"29330","0.462890625","0.462890625","0.462890625"
"29400","0.69140625","0.69140625","0.69140625"
"29470","0.5859375","0.5859375","0.5859375"
"29540","0.65625","0.65625","0.65625"
"29610","0.87109375","0.87109375","0.87109375"
"29680","0.62890625","0.62890625","0.62890625"
"29750","0.796875","0.796875","0.796875"
"29820","0.65234375","0.65234375","0.65234375"
"29890","0.55078125","0.55078125","0.55078125"
"29960","0.98046875","0.98046875","0.98046875"
"30030","0.72265625","0.72265625","0.72265625"
"30100","0.546875","0.546875","0.546875"
"30170","0.84375","0.84375","0.84375"
"30240","0.59765625","0.59765625","0.59765625"
"30310","0.73828125","0.73828125","0.73828125"
"30380","0.6015625","0.6015625","0.6015625"
