"Step","wc_bug5_seq_di64_t24_dm192_nh12_nl10_dr0.2_optMuon_eiZ_bs100_wd0.0_lr0.0015_lrm0.0015_r1 - eval/3_speech_time_acc","wc_bug5_seq_di64_t24_dm192_nh12_nl10_dr0.2_optMuon_eiZ_bs100_wd0.0_lr0.0015_lrm0.0015_r1 - eval/3_speech_time_acc__MIN","wc_bug5_seq_di64_t24_dm192_nh12_nl10_dr0.2_optMuon_eiZ_bs100_wd0.0_lr0.0015_lrm0.0015_r1 - eval/3_speech_time_acc__MAX"
"19530","0.8828125","0.8828125","0.8828125"
"19600","0.8953125","0.8953125","0.8953125"
"19670","0.8859375","0.8859375","0.8859375"
"19740","0.884375","0.884375","0.884375"
"19810","0.88125","0.88125","0.88125"
"19880","0.878125","0.878125","0.878125"
"19950","0.884375","0.884375","0.884375"
"20020","0.8828125","0.8828125","0.8828125"
"20090","0.884375","0.884375","0.884375"
"20160","0.878125","0.878125","0.878125"
"20230","0.8875","0.8875","0.8875"
"20300","0.8765625","0.8765625","0.8765625"
"20370","0.890625","0.890625","0.890625"
"20440","0.8828125","0.8828125","0.8828125"
"20510","0.878125","0.878125","0.878125"
"20580","0.878125","0.878125","0.878125"
"20650","0.8796875","0.8796875","0.8796875"
"20720","0.884375","0.884375","0.884375"
"20790","0.8765625","0.8765625","0.8765625"
"20860","0.8828125","0.8828125","0.8828125"
"20930","0.88125","0.88125","0.88125"
"21000","0.8859375","0.8859375","0.8859375"
"21070","0.875","0.875","0.875"
"21140","0.871875","0.871875","0.871875"
"21210","0.8734375","0.8734375","0.8734375"
"21280","0.8828125","0.8828125","0.8828125"
"21350","0.8796875","0.8796875","0.8796875"
"21420","0.8828125","0.8828125","0.8828125"
"21490","0.8890625","0.8890625","0.8890625"
"21560","0.8875","0.8875","0.8875"
"21630","0.8859375","0.8859375","0.8859375"
"21700","0.8796875","0.8796875","0.8796875"
"21770","0.8875","0.8875","0.8875"
"21840","0.8859375","0.8859375","0.8859375"
"21910","0.8875","0.8875","0.8875"
"21980","0.8875","0.8875","0.8875"
"22050","0.8875","0.8875","0.8875"
"22120","0.8828125","0.8828125","0.8828125"
"22190","0.8875","0.8875","0.8875"
"22260","0.8890625","0.8890625","0.8890625"
"22330","0.890625","0.890625","0.890625"
"22400","0.8875","0.8875","0.8875"
"22470","0.8890625","0.8890625","0.8890625"
"22540","0.884375","0.884375","0.884375"
"22610","0.8921875","0.8921875","0.8921875"
"22680","0.890625","0.890625","0.890625"
"22750","0.890625","0.890625","0.890625"
"22820","0.8984375","0.8984375","0.8984375"
"22890","0.89375","0.89375","0.89375"
"22960","0.8953125","0.8953125","0.8953125"
"23030","0.896875","0.896875","0.896875"
"23100","0.8890625","0.8890625","0.8890625"
"23170","0.8796875","0.8796875","0.8796875"
"23240","0.878125","0.878125","0.878125"
"23310","0.875","0.875","0.875"
"23380","0.884375","0.884375","0.884375"
"23450","0.884375","0.884375","0.884375"
"23520","0.8828125","0.8828125","0.8828125"
"23590","0.878125","0.878125","0.878125"
"23660","0.8796875","0.8796875","0.8796875"
"23730","0.8828125","0.8828125","0.8828125"
"23800","0.884375","0.884375","0.884375"
